X	Y	Vref	Wref
-2.672632315	0.330794182	0.199989	0.4819
-2.658355355	0.316792574	0.199989	0.4819
-2.643420493	0.303494962	0.199989	0.4819
-2.627862405	0.290932219	0.199989	0.4819
-2.611717214	0.279133515	0.199989	0.4819
-2.595022407	0.268126243	0.199989	0.4819
-2.577816746	0.257935962	0.199989	0.4819
-2.560140179	0.24858633	0.199989	0.4819
-2.54203375	0.240099057	0.199989	0.4819
-2.523539497	0.232493848	0.199989	0.4819
-2.50470036	0.225788361	0.199989	0.4819
-2.485560082	0.219998165	0.199989	0.4819
-2.466163103	0.215136704	0.199989	0.4819
-2.446554459	0.211215265	0.199989	0.4819
-2.426779678	0.208242954	0.199989	0.4819
-2.406884673	0.206226671	0.199989	0.4819
-2.386915638	0.205171098	0.199989	0.4819
-2.375	0.205	0.2	0
-2.355	0.205	0.2	0
-2.335	0.205	0.2	0
-2.315	0.205	0.2	0
-2.295	0.205	0.2	0
-2.275	0.205	0.2	0
-2.255	0.205	0.2	0
-2.235	0.205	0.2	0
-2.215	0.205	0.2	0
-2.195	0.205	0.2	0
-2.175	0.205	0.2	0
-2.155	0.205	0.2	0
-2.135	0.205	0.2	0
-2.115	0.205	0.2	0
-2.095	0.205	0.2	0
-2.075	0.205	0.2	0
-2.055	0.205	0.2	0
-2.035	0.205	0.2	0
-2.015	0.205	0.2	0
-1.995	0.205	0.2	0
-1.975	0.205	0.2	0
-1.955	0.205	0.2	0
-1.935	0.205	0.2	0
-1.915	0.205	0.2	0
-1.895	0.205	0.2	0
-1.875	0.205	0.2	0
-1.855	0.205	0.2	0
-1.835	0.205	0.2	0
-1.815	0.205	0.2	0
-1.795	0.205	0.2	0
-1.775	0.205	0.089152	-0.4819
-1.7660883	0.204785231	0.089152	-0.4819
-1.757197292	0.204141423	0.089152	-0.4819
-1.748347618	0.20307007	0.089152	-0.4819
-1.739559827	0.20157366	0.089152	-0.4819
-1.730854321	0.199655668	0.089152	-0.4819
-1.722251315	0.197320546	0.089152	-0.4819
-1.713770781	0.194573717	0.089152	-0.4819
-1.705432411	0.191421558	0.089152	-0.4819
-1.697255565	0.187871388	0.089152	-0.4819
-1.689259228	0.183931449	0.089152	-0.4819
-1.681461967	0.17961089	0.089152	-0.4819
-1.673881884	0.174919742	0.089152	-0.4819
-1.66653658	0.169868898	0.089152	-0.4819
-1.65944311	0.164470084	0.089152	-0.4819
-1.652617942	0.158735835	0.089152	-0.4819
-1.646076925	0.152679466	0.089152	-0.4819
-1.639835244	0.146315038	0.089152	-0.4819
-1.633907393	0.139657328	0.089152	-0.4819
-1.628307134	0.132721795	0.089152	-0.4819
-1.62304747	0.125524541	0.089152	-0.4819
-1.618140615	0.118082278	0.089152	-0.4819
-1.613597959	0.110412284	0.089152	-0.4819
-1.609430051	0.102532369	0.089152	-0.4819
-1.605646568	0.094460828	0.089152	-0.4819
-1.602256294	0.086216402	0.089152	-0.4819
-1.599267101	0.077818233	0.089152	-0.4819
-1.596685929	0.06928582	0.089152	-0.4819
-1.594518772	0.060638974	0.089152	-0.4819
-1.59277066	0.051897771	0.089152	-0.4819
-1.591445654	0.043082507	0.089152	-0.4819
-1.590546829	0.034213649	0.089152	-0.4819
-1.590076273	0.02531179	0.089152	-0.4819
-1.59	0.02	0.199989	0.4819
-1.589518221	8.89E-06	0.199989	0.4819
-1.588074002	-0.019935805	0.199989	0.4819
-1.585670698	-0.039787775	0.199989	0.4819
-1.582313887	-0.059500929	0.199989	0.4819
-1.578011363	-0.079029495	0.199989	0.4819
-1.572773118	-0.098328132	0.199989	0.4819
-1.566611312	-0.117352032	0.199989	0.4819
