x	y
-1.14	-0.15
-1.16	-0.15
-1.18	-0.15
-1.2	-0.15
-1.2234651698	-0.1481532511
-1.2463525492	-0.1426584774
-1.268098575	-0.1336509786
-1.2881677878	-0.1213525492
-1.3060660172	-0.1060660172
-1.3213525492	-0.0881677878
-1.3336509786	-0.068098575
-1.3426584774	-0.0463525492
-1.3481532511	-0.0234651698
-1.35	0
-1.3506167094	0.0235511803
-1.3524651471	0.0470378085
-1.3555402467	0.0703955093
-1.3598335797	0.0935602609
-1.3653333782	0.1164685703
-1.3720245677	0.1390576475
-1.3798888081	0.1612655773
-1.3889045441	0.1830314894
-1.3990470641	0.2042957249
-1.4102885683	0.225
-1.4225982444	0.2450875658
-1.4359423525	0.2645033635
-1.4502843173	0.283194176
-1.4655848285	0.3011087729
-1.4818019485	0.3181980515
-1.4988912271	0.3344151715
-1.516805824	0.3497156827
-1.5354966365	0.3640576475
-1.5549124342	0.3774017556
-1.575	0.3897114317
-1.5957042751	0.4009529359
-1.6169685106	0.4110954559
-1.6387344227	0.4201111919
-1.6609423525	0.4279754323
-1.6835314297	0.4346666218
-1.7064397391	0.4401664203
-1.7296044907	0.4444597533
-1.7529621915	0.4475348529
-1.7764488197	0.4493832906
-1.8	0.45
-1.82	0.45
-1.84	0.45
-1.86	0.45
-1.88	0.45
-1.9	0.45
-1.92	0.45
-1.94	0.45
-1.96	0.45
-1.98	0.45
-2	0.45
-2.02	0.45
-2.04	0.45
-2.06	0.45
-2.08	0.45
-2.1	0.45
-2.12	0.45
-2.14	0.45
-2.16	0.45
-2.18	0.45
-2.2	0.45
-2.22	0.45
-2.24	0.45
-2.26	0.45
-2.28	0.45
-2.3	0.45
-2.32	0.45
-2.34	0.45
-2.36	0.45
-2.38	0.45
-2.4	0.45
-2.4235511803	0.4493832906
-2.4470378085	0.4475348529
-2.4703955093	0.4444597533
-2.4935602609	0.4401664203
-2.5164685703	0.4346666218
-2.5390576475	0.4279754323
-2.5612655773	0.4201111919
-2.5830314894	0.4110954559
-2.6042957249	0.4009529359
-2.625	0.3897114317
-2.6450875658	0.3774017556
-2.6645033635	0.3640576475
-2.683194176	0.3497156827
-2.7011087729	0.3344151715
-2.7181980515	0.3181980515
-2.7344151715	0.3011087729
-2.7497156827	0.283194176
-2.7640576475	0.2645033635
-2.7774017556	0.2450875658
-2.7897114317	0.225
-2.8009529359	0.2042957249
-2.8110954559	0.1830314894
-2.8201111919	0.1612655773
-2.8279754323	0.1390576475
-2.8346666218	0.1164685703
-2.8401664203	0.0935602609
-2.8444597533	0.0703955093
-2.8475348529	0.0470378085
-2.8493832906	0.0235511803
-2.85	0
-2.85	-0.02
-2.85	-0.04
-2.85	-0.06
-2.85	-0.08
-2.85	-0.1
-2.85	-0.12
-2.85	-0.14
-2.85	-0.16
-2.85	-0.18
-2.85	-0.2
-2.85	-0.22
-2.85	-0.24
-2.85	-0.26
-2.85	-0.28
-2.85	-0.3
-2.85	-0.32
-2.85	-0.34
-2.85	-0.36
-2.85	-0.38
-2.85	-0.4
-2.85	-0.42
-2.85	-0.44
-2.85	-0.46
-2.85	-0.48
-2.85	-0.5
-2.85	-0.52
-2.85	-0.54
-2.85	-0.56
-2.85	-0.58
-2.85	-0.6
-2.85	-0.62
-2.85	-0.64
-2.85	-0.66
-2.85	-0.68
-2.85	-0.7
-2.85	-0.72
-2.85	-0.74
-2.85	-0.76
-2.85	-0.78
-2.85	-0.8
-2.85	-0.82
-2.85	-0.84
-2.85	-0.86
-2.85	-0.88
-2.85	-0.9
-2.85	-0.92
-2.85	-0.94
-2.85	-0.96
-2.85	-0.98
-2.85	-1
-2.85	-1.02
-2.85	-1.04
-2.85	-1.06
-2.85	-1.08
-2.85	-1.1
-2.85	-1.12
-2.85	-1.14
-2.85	-1.16
-2.85	-1.18
-2.85	-1.2
-2.8493832906	-1.2235511803
-2.8475348529	-1.2470378085
-2.8444597533	-1.2703955093
-2.8401664203	-1.2935602609
-2.8346666218	-1.3164685703
-2.8279754323	-1.3390576475
-2.8201111919	-1.3612655773
-2.8110954559	-1.3830314894
-2.8009529359	-1.4042957249
-2.7897114317	-1.425
-2.7774017556	-1.4450875658
-2.7640576475	-1.4645033635
-2.7497156827	-1.483194176
-2.7344151715	-1.5011087729
-2.7181980515	-1.5181980515
