X	Y
0.341579507	2.093494962
0.357137596	2.080932219
0.373282786	2.069133515
0.389977593	2.058126244
0.407183254	2.047935962
0.424859821	2.03858633
0.44296625	2.030099057
0.461460504	2.022493848
0.48029964	2.015788361
0.499439918	2.009998165
0.518836897	2.005136704
0.538445541	2.001215265
0.558220322	1.998242954
0.578115327	1.996226671
0.598084362	1.995171098
0.61	1.995
0.63	1.995
0.65	1.995
0.67	1.995
0.69	1.995
0.71	1.995
0.73	1.995
0.75	1.995
0.77	1.995
0.79	1.995
0.81	1.995
0.83	1.995
0.85	1.995
0.87	1.995
0.89	1.995
0.91	1.995
0.93	1.995
0.95	1.995
0.97	1.995
0.99	1.995
1.01	1.995
1.03	1.995
1.05	1.995
1.07	1.995
1.09	1.995
1.11	1.995
1.13	1.995
1.15	1.995
1.17	1.995
1.19	1.995
1.21	1.995
1.2189117	1.994785231
1.227802708	1.994141423
1.236652382	1.99307007
1.245440173	1.99157366
1.254145679	1.989655668
1.262748686	1.987320546
1.271229219	1.984573717
1.279567589	1.981421558
1.287744435	1.977871388
1.295740772	1.973931449
1.303538034	1.96961089
1.311118116	1.964919743
1.31846342	1.959868898
1.32555689	1.954470084
1.332382058	1.948735835
1.338923076	1.942679466
1.345164756	1.936315038
1.351092607	1.929657328
1.356692866	1.922721795
1.36195253	1.915524541
1.366859385	1.908082278
1.371402041	1.900412284
1.375569949	1.892532369
1.379353432	1.884460828
1.382743706	1.876216402
1.385732899	1.867818233
1.388314071	1.85928582
1.390481228	1.850638974
1.39222934	1.841897771
1.393554346	1.833082507
1.394453171	1.82421365
1.394923727	1.81531179
1.395	1.81
1.395481779	1.79000889
1.396925998	1.770064195
1.399329302	1.750212225
1.402686113	1.730499071
1.406988637	1.710970505
1.412226882	1.691671868
1.418388688	1.672647968
1.425459748	1.653942976
1.433423644	1.635600322
1.442261884	1.617662593
1.451953949	1.600171438
1.462477335	1.583167469
1.473807608	1.566690166
1.485918461	1.550777786
1.498781776	1.535467275
1.512367685	1.520794182
1.526644645	1.506792574
1.541579507	1.493494962
1.557137596	1.480932219
1.573282786	1.469133515
1.589977593	1.458126244
1.607183254	1.447935962
1.624859821	1.43858633
1.64296625	1.430099057
1.661460504	1.422493848
1.68029964	1.415788361
1.699439918	1.409998165
1.718836897	1.405136704
1.738445541	1.401215265
1.758220322	1.398242954
1.778115327	1.396226671
1.798084362	1.395171098
1.81	1.395
1.83	1.395
1.85	1.395
1.87	1.395
1.89	1.395
1.91	1.395
1.93	1.395
1.95	1.395
1.97	1.395
1.99	1.395
2.01	1.395
2.03	1.395
2.05	1.395
2.07	1.395
2.09	1.395
2.11	1.395
2.13	1.395
2.15	1.395
2.17	1.395
2.19	1.395
2.21	1.395
2.23	1.395
2.25	1.395
2.27	1.395
2.29	1.395
2.31	1.395
2.33	1.395
2.35	1.395
2.37	1.395
2.39	1.395
2.41	1.395
2.43	1.395
2.45	1.395
2.47	1.395
2.49	1.395
